gloss;bbox;fps;frame_end;frame_start;instance_id;signer_id;source;split;url;variation_id;video_id;video_path
computer;[69, 9, 214, 192];25;-1;1;30;11;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/6/6011.mp4;0;12326;data/raw_videos/12326.mp4
computer;[63, 0, 218, 192];25;-1;1;31;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6012.mp4;2;12327;data/raw_videos/12327.mp4
before;[624, 70, 1587, 1070];25;-1;1;6;32;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before%202-02xxXtC3G8c.mp4;0;05728;data/raw_videos/05728.mp4
before;[300, 12, 1202, 1080];25;-1;1;11;46;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-kM8O_piLegw.mp4;1;05729;data/raw_videos/05729.mp4
before;[712, 64, 1652, 1080];25;-1;1;12;32;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Before-Se78WI3j-mI.mp4;1;05730;data/raw_videos/05730.mp4
before;[570, 98, 1535, 1080];25;-1;1;14;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Last-0SLfkAHELAs.mp4;0;05731;data/raw_videos/05731.mp4
before;[103, 25, 528, 480];25;-1;1;15;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1466681314.2550.mp4;0;05732;data/raw_videos/05732.mp4
before;[95, 23, 533, 480];25;-1;1;16;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1466681379.1244.mp4;1;05733;data/raw_videos/05733.mp4
before;[129, 0, 555, 480];25;-1;1;17;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1468755772.9751.mp4;0;05734;data/raw_videos/05734.mp4
before;[386, 45, 810, 720];25;-1;1;20;38;startasl;test;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/before.mp4;1;05727;data/raw_videos/05727.mp4
before;[74, 23, 209, 192];25;-1;1;23;10;signingsavvy;test;https://www.signingsavvy.com/signs/mp4/22/22829.mp4;1;05739;data/raw_videos/05739.mp4
before;[90, 22, 203, 192];25;-1;1;24;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/22/22831.mp4;1;05740;data/raw_videos/05740.mp4
before;[65, 9, 219, 192];25;-1;1;25;11;signingsavvy;test;https://www.signingsavvy.com/signs/mp4/5/5971.mp4;0;05741;data/raw_videos/05741.mp4
before;[67, 14, 216, 192];25;-1;1;26;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6164.mp4;0;05742;data/raw_videos/05742.mp4
before;[43, 3, 212, 192];25;-1;1;27;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/9/9194.mp4;0;05743;data/raw_videos/05743.mp4
chair;[40, 6, 266, 240];25;-1;1;8;0;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/74909.mp4;0;09848;data/raw_videos/09848.mp4
chair;[388, 56, 806, 720];25;-1;1;12;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/chair.mp4;0;09849;data/raw_videos/09849.mp4
chair;[667, 144, 1472, 1061];25;-1;1;13;31;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Chair-mVdtJjs-_20.mp4;0;09850;data/raw_videos/09850.mp4
chair;[102, 22, 563, 480];25;-1;1;14;59;asldeafined;val;https://media.asldeafined.com/vocabulary/1466729509.9229.mp4;0;09851;data/raw_videos/09851.mp4
chair;[169, 15, 476, 370];25;-1;1;15;90;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CH/CHAIR-378.mp4;0;65328;data/raw_videos/65328.mp4
chair;[81, 15, 233, 192];25;-1;1;18;11;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/7/7821.mp4;0;09854;data/raw_videos/09854.mp4
go;[268, 38, 898, 720];25;-1;1;1;118;aslbrick;val;http://aslbricks.org/New/ASL-Videos/go.mp4;0;69345;data/raw_videos/69345.mp4
go;[79, 22, 201, 192];25;-1;1;3;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23400.mp4;0;24955;data/raw_videos/24955.mp4
go;[81, 22, 199, 192];25;-1;1;4;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23401.mp4;0;24956;data/raw_videos/24956.mp4
go;[187, 18, 526, 414];25;-1;1;8;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/go.mp4;0;24941;data/raw_videos/24941.mp4
go;[78, 25, 214, 192];25;-1;1;9;10;signingsavvy;test;https://www.signingsavvy.com/signs/mp4/23/23517.mp4;1;24960;data/raw_videos/24960.mp4
go;[78, 25, 214, 192];25;-1;1;10;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23517.mp4;1;24961;data/raw_videos/24961.mp4
go;[88, 25, 217, 192];25;-1;1;11;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23519.mp4;1;24962;data/raw_videos/24962.mp4
go;[149, 9, 591, 370];25;-1;1;24;94;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/GO/GO-469.mp4;0;65824;data/raw_videos/65824.mp4
go;[283, 19, 812, 480];25;-1;1;26;52;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20go-c3j44FTrL9c.mp4;0;24943;data/raw_videos/24943.mp4
go;[607, 62, 1534, 1075];25;-1;1;29;31;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20To%20Go-BeOwDK5YI0U.mp4;0;24946;data/raw_videos/24946.mp4
go;[58, 2, 557, 480];25;-1;1;30;21;asldeafined;train;https://media.asldeafined.com/vocabulary/1468549286.5649.mp4;0;24947;data/raw_videos/24947.mp4
go;[37, 1, 284, 240];25;-1;1;33;0;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/58507.mp4;0;24940;data/raw_videos/24940.mp4
go;[32, 14, 204, 192];25;-1;1;37;10;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/22/22235.mp4;1;24952;data/raw_videos/24952.mp4
go;[79, 22, 201, 192];25;-1;1;39;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23400.mp4;0;24954;data/raw_videos/24954.mp4
clothes;[403, 67, 893, 720];25;-1;1;5;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/clothes.mp4;0;11310;data/raw_videos/11310.mp4
clothes;[70, 21, 614, 480];25;-1;1;8;59;asldeafined;test;https://media.asldeafined.com/vocabulary/1466899298.7370.mp4;0;11311;data/raw_videos/11311.mp4
clothes;[56, 8, 243, 192];25;-1;1;10;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6566.mp4;0;11313;data/raw_videos/11313.mp4
clothes;[21, 2, 304, 240];25;-1;1;13;42;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/399310.mp4;0;11309;data/raw_videos/11309.mp4
who;[381, 45, 868, 720];25;-1;1;1;118;aslbrick;train;http://aslbricks.org/New/ASL-Videos/who.mp4;0;69534;data/raw_videos/69534.mp4
who;[235, 15, 526, 414];25;-1;1;8;36;startasl;test;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/who.mp4;0;63226;data/raw_videos/63226.mp4
who;[687, 96, 1421, 1080];25;-1;1;9;6;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who%202-P20hHY3qUEQ.mp4;0;63227;data/raw_videos/63227.mp4
who;[693, 88, 1401, 1080];25;-1;1;10;6;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-rehp_kwiS-I.mp4;0;63228;data/raw_videos/63228.mp4
who;[655, 72, 1505, 1071];25;-1;1;11;4;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-wmIY6Yo-vp8.mp4;0;63229;data/raw_videos/63229.mp4
who;[342, 20, 1162, 1080];25;-1;1;12;46;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Who-xchfz0eTaP8.mp4;0;63230;data/raw_videos/63230.mp4
who;[128, 8, 517, 480];25;-1;1;13;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1468928348.68.mp4;0;63231;data/raw_videos/63231.mp4
who;[112, 28, 507, 480];25;-1;1;15;59;asldeafined;train;https://media.asldeafined.com/vocabulary/1539176590.1089.mp4;0;63232;data/raw_videos/63232.mp4
who;[35, 0, 293, 240];25;-1;1;20;42;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/51811.mp4;0;63225;data/raw_videos/63225.mp4
who;[81, 19, 207, 192];25;-1;1;23;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/9/9019.mp4;0;63236;data/raw_videos/63236.mp4
who;[82, 17, 212, 192];25;-1;1;24;11;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/9/9020.mp4;0;63237;data/raw_videos/63237.mp4
candy;[163, 14, 517, 414];25;-1;1;6;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/candy.mp4;1;08916;data/raw_videos/08916.mp4
candy;[784, 153, 1501, 1080];25;-1;1;7;39;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing%202-dsVi-FR4eBg.mp4;0;08917;data/raw_videos/08917.mp4
candy;[774, 153, 1499, 1080];25;-1;1;8;39;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy%2C%20It%27s%20Nothing-YX3NQ7iEwiE.mp4;0;08918;data/raw_videos/08918.mp4
candy;[647, 60, 1538, 1065];25;-1;1;9;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Candy-v1iNoQ1DZ7c.mp4;1;08919;data/raw_videos/08919.mp4
candy;[675, 65, 1529, 1060];25;-1;1;10;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cute-Dl2ekdgVRTg.mp4;0;08920;data/raw_videos/08920.mp4
candy;[66, 24, 572, 480];25;-1;1;11;17;asldeafined;train;https://media.asldeafined.com/vocabulary/1471144833.8086.mp4;1;08921;data/raw_videos/08921.mp4
candy;[186, 15, 467, 370];25;-1;1;14;90;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_1-66.mp4;0;65298;data/raw_videos/65298.mp4
candy;[80, 11, 216, 192];25;-1;1;15;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6123.mp4;0;08924;data/raw_videos/08924.mp4
candy;[195, 16, 467, 370];25;-1;1;17;89;aslsignbank;test;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CA/CANDY_2-1014.mp4;0;65300;data/raw_videos/65300.mp4
candy;[23, 0, 286, 240];25;-1;1;18;56;spreadthesign;test;https://media.spreadthesign.com/video/mp4/13/51294.mp4;1;08915;data/raw_videos/08915.mp4
candy;[78, 15, 233, 192];25;-1;1;21;11;signingsavvy;test;https://www.signingsavvy.com/signs/mp4/7/7906.mp4;1;08925;data/raw_videos/08925.mp4
cousin;[134, 17, 491, 370];25;-1;1;0;102;aslsignbank;test;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/CO/COUSIN-1171.mp4;0;65415;data/raw_videos/65415.mp4
cousin;[463, 67, 856, 720];25;-1;1;5;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-female.mp4;0;13631;data/raw_videos/13631.mp4
cousin;[428, 69, 853, 720];25;-1;1;6;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/cousin-male.mp4;0;13632;data/raw_videos/13632.mp4
cousin;[297, 16, 772, 480];25;-1;1;7;60;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Cousin-WACMzmRGgY8.mp4;0;13633;data/raw_videos/13633.mp4
cousin;[99, 24, 512, 480];25;-1;1;8;59;asldeafined;val;https://media.asldeafined.com/vocabulary/1466904377.9296.mp4;0;13634;data/raw_videos/13634.mp4
cousin;[59, 25, 528, 480];25;-1;1;9;59;asldeafined;test;https://media.asldeafined.com/vocabulary/1466904400.1624.mp4;0;13635;data/raw_videos/13635.mp4
cousin;[55, 27, 520, 480];25;-1;1;10;59;asldeafined;train;https://media.asldeafined.com/vocabulary/1539177107.4884.mp4;0;13636;data/raw_videos/13636.mp4
cousin;[67, 17, 251, 234];25;-1;1;13;35;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/47501.mp4;0;13630;data/raw_videos/13630.mp4
cousin;[52, 9, 225, 192];25;-1;1;16;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6148.mp4;0;13640;data/raw_videos/13640.mp4
cousin;[79, 8, 222, 192];25;-1;1;17;11;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/6/6150.mp4;0;13641;data/raw_videos/13641.mp4
cousin;[54, 9, 222, 192];25;-1;1;18;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6568.mp4;0;13642;data/raw_videos/13642.mp4
deaf;[186, 15, 525, 414];25;-1;1;6;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/deaf.mp4;0;14882;data/raw_videos/14882.mp4
deaf;[738, 111, 1463, 1080];25;-1;1;10;45;signschool;test;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf%202-1tMYCoZB0lE.mp4;0;14883;data/raw_videos/14883.mp4
deaf;[677, 59, 1527, 1061];25;-1;1;11;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf%202-VoHLEG8FIH4.mp4;0;14884;data/raw_videos/14884.mp4
deaf;[727, 115, 1483, 1078];25;-1;1;12;45;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Deaf-bHRhz2geOTA.mp4;0;14885;data/raw_videos/14885.mp4
deaf;[445, 35, 1030, 709];25;-1;1;13;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Deaf.mp4;0;14886;data/raw_videos/14886.mp4
deaf;[170, 15, 476, 370];25;-1;1;14;90;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DE/DEAF-103.mp4;0;65445;data/raw_videos/65445.mp4
deaf;[111, 30, 517, 480];25;-1;1;15;59;asldeafined;val;https://media.asldeafined.com/vocabulary/1466906743.302.mp4;0;14887;data/raw_videos/14887.mp4
deaf;[95, 28, 530, 480];25;-1;1;16;15;asldeafined;test;https://media.asldeafined.com/vocabulary/1522766619.2346.mp4;0;14888;data/raw_videos/14888.mp4
deaf;[66, 24, 205, 192];25;-1;1;21;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23016.mp4;0;14893;data/raw_videos/14893.mp4
deaf;[60, 24, 206, 192];25;-1;1;22;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23017.mp4;0;14894;data/raw_videos/14894.mp4
fine;[414, 53, 804, 720];25;-1;1;7;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine2.mp4;0;21870;data/raw_videos/21870.mp4
fine;[206, 15, 518, 414];25;-1;1;11;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/fine.mp4;0;21871;data/raw_videos/21871.mp4
fine;[344, 10, 770, 480];25;-1;1;12;52;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20fine5-4SzwErJNYTc.mp4;0;21872;data/raw_videos/21872.mp4
fine;[67, 10, 236, 240];25;-1;1;13;2;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/92669.mp4;0;21869;data/raw_videos/21869.mp4
fine;[57, 6, 600, 480];25;-1;1;15;21;asldeafined;val;https://media.asldeafined.com/vocabulary/1468494312.7752.mp4;1;21874;data/raw_videos/21874.mp4
fine;[69, 14, 214, 192];25;-1;1;19;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/14/14347.mp4;0;21878;data/raw_videos/21878.mp4
fine;[72, 15, 216, 192];25;-1;1;26;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6355.mp4;1;21883;data/raw_videos/21883.mp4
help;[605, 64, 1417, 1080];25;-1;1;1;115;aslbrick;val;http://aslbricks.org/New/ASL-Videos/help.mp4;0;69364;data/raw_videos/69364.mp4
help;[211, 16, 525, 414];25;-1;1;5;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/help.mp4;0;27206;data/raw_videos/27206.mp4
help;[665, 54, 1608, 1080];25;-1;1;6;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Stamp%2C%20Help-2bSAr25HPXY.mp4;0;27207;data/raw_videos/27207.mp4
help;[80, 14, 536, 480];25;-1;1;7;21;asldeafined;train;https://media.asldeafined.com/vocabulary/1468580671.3652.mp4;0;27208;data/raw_videos/27208.mp4
help;[66, 20, 607, 480];25;-1;1;8;17;asldeafined;test;https://media.asldeafined.com/vocabulary/1471136062.8464.mp4;0;27209;data/raw_videos/27209.mp4
help;[182, 14, 465, 370];25;-1;1;12;90;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-2562.mp4;0;65890;data/raw_videos/65890.mp4
help;[92, 24, 202, 192];25;-1;1;13;10;signingsavvy;test;https://www.signingsavvy.com/signs/mp4/23/23431.mp4;0;27213;data/raw_videos/27213.mp4
help;[77, 3, 220, 192];25;-1;1;14;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/5/5871.mp4;0;27214;data/raw_videos/27214.mp4
help;[188, 14, 463, 370];25;-1;1;15;90;aslsignbank;val;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-2563.mp4;0;65891;data/raw_videos/65891.mp4
help;[188, 15, 469, 370];25;-1;1;16;90;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/HE/HELP-483.mp4;0;65889;data/raw_videos/65889.mp4
help;[72, 14, 217, 192];25;-1;1;19;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6389.mp4;0;27215;data/raw_videos/27215.mp4
help;[67, 5, 217, 192];25;-1;1;20;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/9/9918.mp4;0;27216;data/raw_videos/27216.mp4
help;[61, 12, 213, 192];25;-1;1;21;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/9/9936.mp4;0;27217;data/raw_videos/27217.mp4
no;[274, 43, 875, 720];25;-1;1;1;118;aslbrick;val;http://aslbricks.org/New/ASL-Videos/no.mp4;0;69411;data/raw_videos/69411.mp4
no;[223, 12, 525, 414];25;-1;1;9;36;startasl;test;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/no.mp4;0;38525;data/raw_videos/38525.mp4
no;[777, 24, 1651, 1080];25;-1;1;12;3;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20No-hwa_U71nr74.mp4;0;38527;data/raw_videos/38527.mp4
no;[88, 0, 502, 480];25;-1;1;15;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1468719269.5533.mp4;0;38529;data/raw_videos/38529.mp4
no;[138, 36, 517, 480];25;-1;1;16;15;asldeafined;train;https://media.asldeafined.com/vocabulary/1522767129.7038.mp4;0;38530;data/raw_videos/38530.mp4
no;[74, 22, 205, 192];25;-1;1;18;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23547.mp4;0;38532;data/raw_videos/38532.mp4
no;[83, 17, 215, 192];25;-1;1;19;10;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/23/23949.mp4;0;38533;data/raw_videos/38533.mp4
no;[54, 0, 261, 240];25;-1;1;21;56;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/48823.mp4;0;38524;data/raw_videos/38524.mp4
no;[77, 17, 218, 192];25;-1;1;23;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6400.mp4;0;38534;data/raw_videos/38534.mp4
thin;[66, 21, 206, 192];25;-1;1;1;10;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/22/22387.mp4;1;57948;data/raw_videos/57948.mp4
thin;[66, 21, 206, 192];25;-1;1;2;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/22/22387.mp4;1;57949;data/raw_videos/57949.mp4
thin;[427, 57, 820, 720];25;-1;1;6;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/thin-2.mp4;1;57934;data/raw_videos/57934.mp4
thin;[437, 57, 825, 720];25;-1;1;8;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/thin.mp4;0;57935;data/raw_videos/57935.mp4
thin;[840, 75, 1596, 1075];25;-1;1;9;32;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thin%202-aLghoMT6IhA.mp4;1;57936;data/raw_videos/57936.mp4
thin;[740, 74, 1629, 1076];25;-1;1;10;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thin%202-cXEknONHNEc.mp4;1;57937;data/raw_videos/57937.mp4
thin;[183, 26, 437, 370];25;-1;1;11;92;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/TH/THIN-2192.mp4;1;66606;data/raw_videos/66606.mp4
thin;[856, 69, 1733, 1080];25;-1;1;13;39;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thin-5G1gWM4HnBI.mp4;0;57939;data/raw_videos/57939.mp4
thin;[690, 97, 1426, 1080];25;-1;1;14;6;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thin-85Xp1i_NN-E.mp4;1;57940;data/raw_videos/57940.mp4
thin;[823, 73, 1592, 1080];25;-1;1;15;32;signschool;test;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Thin-fTYMARYgieE.mp4;1;57941;data/raw_videos/57941.mp4
thin;[120, 0, 533, 480];25;-1;1;16;13;asldeafined;train;https://media.asldeafined.com/vocabulary/1468944700.6887.mp4;1;57942;data/raw_videos/57942.mp4
